wav_filename,wav_filesize,transcript
/root/speech/data/gfuel_custom/1.wav,241708,gfuel
/root/speech/data/gfuel_custom/2.wav,1139352,gfuel gfuel gfuel gfuel gfuel
/root/speech/data/gfuel_custom/3.wav,258092,gfuel
/root/speech/data/gfuel_custom/4.wav,462892,gfuel gfuel
/root/speech/data/gfuel_custom/5.wav,688172,gfuel gfuel gfuel
/root/speech/data/gfuel_custom/6.wav,227372,gfuel
/root/speech/data/gfuel_custom/7.wav,274476,gfuel
/root/speech/data/gfuel_custom/8.wav,376876,gfuel
/root/speech/data/gfuel_custom/9.wav,745516,gfuel gfuel gfuel gfuel
/root/speech/data/gfuel_custom/10.wav,274476,gfuel
/root/speech/data/gfuel_custom/11.wav,167980,gfuel
